residue,atom_name,atomic_charges,sigma_nanometer,epsilon_kjmol
IPH,C1,0.378681,0.326647,0.296008
IPH,O1,-0.343464,0.333163,0.346681
IPH,C2,-0.232788,0.341617,0.423640
IPH,C3,-0.126229,0.339811,0.406048
IPH,C4,-0.232788,0.341617,0.423640
IPH,C5,-0.343464,0.333163,0.346681
IPH,C6,-0.324378,0.327741,0.502615
IPH,H01,0.487391,0.223707,0.014210
IPH,H02,0.149058,0.254681,0.040097
IPH,H03,0.136098,0.256003,0.041793
IPH,H04,0.136098,0.256003,0.041793
IPH,H05,0.149058,0.254681,0.040097
IPH,H06,0.166830,0.253220,0.038294

